time_s,pressure_mmHg
0.0,97.2472
0.005,95.996
0.01,95.7366
0.015,95.996
0.02,95.4924
0.025,94.9889
0.03,95.996
0.035,94.4853
0.04,94.7447
0.045,94.7447
0.05,94.9889
0.055,94.4853
0.06,93.997
0.065,95.7366
0.07,97.9949
0.075,99.2462
0.08,103.4883
0.085,107.9897
0.09,112.7354
0.095,118.7475
0.1,125.4921
0.1049,131.489
0.11,138.7371
0.1149,145.497
0.12,151.4939
0.125,158.4979
0.1299,165.2425
0.135,169.4998
0.1399,173.986
0.145,177.7398
0.1499,177.9992
0.1549,177.4957
0.1599,176.7479
0.1649,174.4896
0.1699,170.2475
0.1749,166.4937
0.1799,162.74
0.1849,156.4989
0.19,150.7462
0.1949,147.2365
0.1999,142.2468
0.2049,136.9976
0.2099,133.7474
0.2149,130.9854
0.2199,127.9946
0.2249,125.248
0.2299,123.249
0.2349,122.7454
0.2399,121.2348
0.2449,119.9988
0.2499,119.7394
0.2549,119.7394
0.2599,120.2429
0.2649,119.9988
0.2699,120.4871
0.2749,120.4871
0.2799,119.7394
0.2849,119.9988
0.2899,120.2429
0.2949,120.2429
0.2999,119.9988
0.3049,118.7475
0.3099,118.7475
0.3149,118.4881
0.3199,117.2369
0.3249,117.7404
0.3299,118.244
0.3349,117.7404
0.3399,116.9927
0.3449,116.9927
0.3499,117.2369
0.3549,117.9998
0.3599,118.244
0.3649,118.7475
0.3699,119.2358
0.3749,119.2358
0.3799,119.2358
0.3849,119.9988
0.3899,119.9988
0.3949,121.2348
0.3999,121.4942
0.4049,120.7465
0.4099,120.9906
0.4149,121.4942
0.4199,120.7465
0.4249,120.2429
0.4299,119.9988
0.4349,118.4881
0.4399,116.9927
0.4449,115.7414
0.4499,114.9937
0.4549,113.2389
0.4599,112.4912
0.4649,111.9877
0.4699,110.4923
0.4749,109.4852
0.4799,109.241
0.4849,107.242
0.4899,106.7385
0.4949,106.4943
0.4999,105.2431
0.5049,103.7477
0.5099,103.4883
0.5149,103.4883
0.5199,101.7487
0.5249,102.237
0.5299,101.9929
0.5349,100.7416
0.5399,101.4893
0.5449,101.4893
0.5499,100.4975
0.5549,99.9939
0.5599,100.238
0.5649,100.238
0.5699,98.9868
0.5749,99.2462
0.5799,99.4903
0.5849,100.4975
0.5899,99.4903
0.5949,99.2462
0.5999,100.238
0.6049,99.9939
0.6099,99.4903
0.6149,99.9939
0.6199,100.238
0.6249,99.7497
0.6299,99.7497
0.6349,99.9939
0.6399,98.9868
0.6449,99.2462
0.6499,98.7426
0.6549,99.2462
0.6599,98.4985
0.6649,98.2391
0.6699,98.2391
0.6749,97.9949
0.6799,97.9949
0.6849,97.2472
0.6899,96.9878
0.6949,96.4995
0.6999,96.2401
0.7049,95.7366
0.7099,95.4924
